Docente,Nome projeto,Edital,Início ,Fim,Tipo
Romulo da Silva Viana,Educação ambiental como estratégia de atenção à saúde do trabalhador: uma análise da percepção de um grupo de trabalhadores do município de Campos dos Goytacazes,Programa Jovens Talentos para a Ciência da FAPERJ – 2017,01/09/2017,31/12/2018,extensão
Fernanda Morales dos Santos Rios,Som Digital - A interface entre tecnologia e as perspectivas do ensino e aprendizagem em música,"EDITAL N.º 51 – REITORIA, DE 20 DE MARÇO DE 2018",01/08/2018,31/07/2019,pesquisa
Fernanda Morales dos Santos Rios,Festival da Canção,"Edital Nº 150, de 04 de outubro de 2019",01/03/2020,31/12/2020,extensão
Flávia Tatiana Fortunato Ferreira,Saneamento sob medida em comunidade rural: abordagem descentralizada para concepção de tratamento de esgoto sanitário no distrito rural de Morangaba em Campos dos Goytacazes,"Edital Nº 150, de 04 de outubro de 2019",01/03/2020,31/12/2020,pesquisa
Flávia Tatiana Fortunato Ferreira,Análise do perfil de egressos do curso de bacharelado em Engenharia Ambiental do Instituto Federal Fluminense campus Campos Guarus,"Edital Nº 53, de 30 de março de 2021",14/05/2021,até a data da presente declaração,pesquisa
