Nome,Papel,Tipo,Palestra,Data,Evento
Augusto Ordine,palestrante,do workshop,Arranjos vocais na música popular,06 de outubro de 2020,Festival Interuniversitário da Canção
Rômulo Gomes,palestrante,do workshop,O ofício de compor,13 de outubro de 2020,Festival Interuniversitário da Canção
Sheila Zagury,palestrante,do workshop,"Harmonizar e re-armonizar: reflexões e “dicas"" de elaboração",20 de outubro de 2020,Festival Interuniversitário da Canção
Flavio Mendes,palestrante,do workshop,Os arranjos da música popular brasileira,27 de outubro de 2020,Festival Interuniversitário da Canção
Diogo Rebel e Carvalho ,mediador,do workshop,Arranjos vocais na música popular,06 de outubro de 2020,Festival Interuniversitário da Canção
Fernanda Morales dos Santos Rios,mediadora,do workshop,O ofício de compor,13 de outubro de 2020,Festival Interuniversitário da Canção
Thomas Fontes Saboga Cardoso,mediador,do workshop,"Harmonizar e re-armonizar: reflexões e “dicas"" de elaboração",20 de outubro de 2020,Festival Interuniversitário da Canção
